Rainfall_mm,GDD_HeatUnits,Solar_Radiation,Soil_pH,Clay_Percent,Sand_Percent,Organic_Carbon,Nitrogen_Base,Phosphorus_Base,Urea_Bags,DAP_Bags,Water_Source,Seed_Type,Land_Size_Acres,Yield_Maunds
318.5430534813131,1440.6728074902055,18.925585256038588,7.949027784943135,32.87983513134371,23.777243209710473,0.8834312586700397,22.327967283733248,19.40535847894791,4,3,1,0,8.503751544525267,42.22734955774173
577.8214378844623,1904.4712315918655,18.704681986079997,8.27137163269757,42.21729317199945,26.57024807812575,0.4551477258946496,31.20635169386776,18.745660088262554,1,1,0,0,5.277594373878003,16.034675633875366
479.3972738151323,2334.829586639331,28.59381870781555,6.851216536860497,40.40643719160636,39.90915876207631,1.0851551070193333,69.87474830539655,6.915083973267153,3,0,1,1,21.6203727858666,43.4075434815399
419.3963178886665,2151.8923523324293,18.74319299774259,7.824672658978198,16.155996187750947,21.900153512096225,0.8518046151623173,66.00610138030015,23.451448098116,4,2,2,1,10.684546396173506,51.237675524506095
220.20838819909642,2248.5294922198846,19.079245891929464,7.686539556173747,15.969978789658956,40.437738968426,0.4414834952012588,41.03856148742881,16.36944404313639,0,2,0,0,10.56504914476918,6.301307062652377
220.1975341512912,2056.4183767239324,26.390973936269454,8.365358979649505,20.726974709796533,13.084705084184202,1.166104251733086,42.60863766645275,12.274510422713686,0,1,0,0,5.07728019535888,14.954459459036148
176.13762547568976,2099.9595338732083,21.7460976367581,8.555826357251277,24.44298905364149,37.187945302302076,0.7665289170017885,52.01326601321477,20.13077166990613,1,0,0,1,10.193576226058688,17.042941975930233
539.7792655987208,2303.9543470349154,26.650658354327717,6.231607605841206,26.338223256339305,39.664167156915774,0.36560860668448947,20.01446028110807,10.147309168032681,5,2,1,1,21.918804311892405,51.270953878512685
420.50175528444396,1524.5684115169418,15.980492363465778,7.952451789552861,37.18788867333381,16.363617849306856,0.8641496139735605,34.47466016228167,18.87019674092641,0,0,1,1,9.715089051751262,26.359512529156266
468.63266000822045,1836.2524527360827,22.313567905100765,6.334773077711295,12.267217286633416,25.062128633027015,0.5278790163115292,32.493908516492866,5.794224151444944,0,2,2,1,23.838485499994913,33.46112507671266
159.2630224331111,1487.5722743654828,15.504204002749239,7.627032529201125,11.386908169042655,15.792492113227947,1.0233241066895722,35.02897680498581,21.78816075218544,0,1,2,0,23.7114135810013,19.06089019131216
586.4594334728974,2483.968410395641,15.939798051830318,6.947845095513563,25.67642251775636,34.73114451479762,1.0360398662095716,68.35435055200648,13.96341694042637,3,1,0,1,4.4775678233763045,43.4042402252755
